id,title,price,description,category_id,category_name,image_url
59,Toy Car G-Wagon,299,hotwheels,1,Clothes,
60,iPhone 17 pro max,899,Apple,1,Clothes,
87,telefon,100000,последен модел,2,Electronics,
89,New Cotton Shirt2,1100,Very nice and attractive,1,Clothes,
90,Mobile Phones,10,A description,1,Clothes,
93,Sofa Retratil 3 Lugares,699,Sofa 3 Lugares,3,Furniture,
94,Pest Control,2000,Jasa penanggulangan hama atau Pest Control,1,Clothes,
95,Classic Navy Blue Baseball Capss,12,dsc,1,Clothes,
96,user_1764435974170mm,100,Updated description,1,Clothes,
97,Sweatpans,34,qki ga6ti,1,Clothes,
98,Headphones,33,mn svirqt,1,Clothes,
99,New Productb,10,stfdffffffffring,2,Electronics,
100,New Product UPDATED,20,updated desc,2,Electronics,
101,form.title,121212,form.description,1,Clothes,
102,some title,456,some description,2,Electronics,
103,title,1250,desc,2,Electronics,
104,WW,22,WW,5,Miscellaneous,
105,New Product 1764454144494,12,this is a product,2,Electronics,
